COLLISION_ID,CRASH_DATETIME,LATITUDE,LONGITUDE,ZIPCODE,API_CALL
22,2012-07-01 10:40:00.000,40.7208537,-74.0039287,10013,https://weather.visualcrossing.com/VisualCrossingWebServices/rest/services/timeline/40.7209%2C-74.0039/2012-07-01T10:40:00?key={API_KEY}&include=current&contentType=csv
23,2012-07-01 12:18:00.000,40.7047985,-74.0166846,10280,https://weather.visualcrossing.com/VisualCrossingWebServices/rest/services/timeline/40.7048%2C-74.0167/2012-07-01T12:18:00?key={API_KEY}&include=current&contentType=csv
25,2012-07-01 18:00:00.000,40.7136919,-74.0137542,10007,https://weather.visualcrossing.com/VisualCrossingWebServices/rest/services/timeline/40.7137%2C-74.0138/2012-07-01T18:00:00?key={API_KEY}&include=current&contentType=csv
26,2012-07-01 19:30:00.000,40.719058,-74.0124422,10013,https://weather.visualcrossing.com/VisualCrossingWebServices/rest/services/timeline/40.7191%2C-74.0124/2012-07-01T19:30:00?key={API_KEY}&include=current&contentType=csv
27,2012-07-01 20:00:00.000,40.7079778,-74.0080037,10038,https://weather.visualcrossing.com/VisualCrossingWebServices/rest/services/timeline/40.708%2C-74.008/2012-07-01T20:00:00?key={API_KEY}&include=current&contentType=csv
28,2012-07-01 22:45:00.000,40.7257971,-73.9976116,10012,https://weather.visualcrossing.com/VisualCrossingWebServices/rest/services/timeline/40.7258%2C-73.9976/2012-07-01T22:45:00?key={API_KEY}&include=current&contentType=csv
29,2012-07-02 00:59:00.000,40.7256734,-74.0057798,10013,https://weather.visualcrossing.com/VisualCrossingWebServices/rest/services/timeline/40.7257%2C-74.0058/2012-07-02T00:59:00?key={API_KEY}&include=current&contentType=csv
30,2012-07-02 06:44:00.000,40.7193963,-74.0018831,10013,https://weather.visualcrossing.com/VisualCrossingWebServices/rest/services/timeline/40.7194%2C-74.0019/2012-07-02T06:44:00?key={API_KEY}&include=current&contentType=csv
31,2012-07-02 14:00:00.000,40.7203761,-74.0032612,10013,https://weather.visualcrossing.com/VisualCrossingWebServices/rest/services/timeline/40.7204%2C-74.0033/2012-07-02T14:00:00?key={API_KEY}&include=current&contentType=csv
32,2012-07-02 13:27:00.000,40.7269334,-73.999917,10012,https://weather.visualcrossing.com/VisualCrossingWebServices/rest/services/timeline/40.7269%2C-73.9999/2012-07-02T13:27:00?key={API_KEY}&include=current&contentType=csv
33,2012-07-02 08:50:00.000,40.7159981,-74.0070956,10007,https://weather.visualcrossing.com/VisualCrossingWebServices/rest/services/timeline/40.716%2C-74.0071/2012-07-02T08:50:00?key={API_KEY}&include=current&contentType=csv
36,2012-07-01 11:40:00.000,40.7164532,-74.0130478,10007,https://weather.visualcrossing.com/VisualCrossingWebServices/rest/services/timeline/40.7165%2C-74.013/2012-07-01T11:40:00?key={API_KEY}&include=current&contentType=csv
37,2012-07-02 00:19:00.000,40.7136919,-74.0137542,10007,https://weather.visualcrossing.com/VisualCrossingWebServices/rest/services/timeline/40.7137%2C-74.0138/2012-07-02T00:19:00?key={API_KEY}&include=current&contentType=csv
38,2012-07-02 10:30:00.000,40.7047985,-74.0166846,10280,https://weather.visualcrossing.com/VisualCrossingWebServices/rest/services/timeline/40.7048%2C-74.0167/2012-07-02T10:30:00?key={API_KEY}&include=current&contentType=csv
39,2012-07-02 14:15:00.000,40.7203761,-74.0032612,10013,https://weather.visualcrossing.com/VisualCrossingWebServices/rest/services/timeline/40.7204%2C-74.0033/2012-07-02T14:15:00?key={API_KEY}&include=current&contentType=csv
40,2012-07-02 14:25:00.000,40.7203761,-74.0032612,10013,https://weather.visualcrossing.com/VisualCrossingWebServices/rest/services/timeline/40.7204%2C-74.0033/2012-07-02T14:25:00?key={API_KEY}&include=current&contentType=csv
41,2012-07-02 16:30:00.000,40.7250257,-74.0058952,10013,https://weather.visualcrossing.com/VisualCrossingWebServices/rest/services/timeline/40.725%2C-74.0059/2012-07-02T16:30:00?key={API_KEY}&include=current&contentType=csv
42,2012-07-02 17:47:00.000,40.7182736,-74.0053246,10013,https://weather.visualcrossing.com/VisualCrossingWebServices/rest/services/timeline/40.7183%2C-74.0053/2012-07-02T17:47:00?key={API_KEY}&include=current&contentType=csv
43,2012-07-02 17:05:00.000,40.7203761,-74.0032612,10013,https://weather.visualcrossing.com/VisualCrossingWebServices/rest/services/timeline/40.7204%2C-74.0033/2012-07-02T17:05:00?key={API_KEY}&include=current&contentType=csv
44,2012-07-02 18:01:00.000,40.7141646,-74.006309,10007,https://weather.visualcrossing.com/VisualCrossingWebServices/rest/services/timeline/40.7142%2C-74.0063/2012-07-02T18:01:00?key={API_KEY}&include=current&contentType=csv
